genome_name	genome_fpath	batch	barcode	genus	read_filename	subreadset_xml_fpath
batch4_bc1021_metaflye_ccs_contig_41_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1021_metaflye_ccs_contig_41_Prochlorococcus_C.fasta	batch4	bc1021	Prochlorococcus	demux_subreadset.bc1021--bc1021.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1021--bc1021.subreadset.xml
batch4_bc1022_metaflye_subreadset_contig_140_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch4_bc1022_metaflye_subreadset_contig_140_Prochlorococcus_C.fasta	batch4	bc1022	Prochlorococcus	demux_subreadset.bc1022--bc1022.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch4/1/lima_demux/demux_subreadset.bc1022--bc1022.subreadset.xml
batch5_bc1001_metaflye_ccs_contig_8_Prochlorococcus_sp000760215	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1001_metaflye_ccs_contig_8_Prochlorococcus_sp000760215.fasta	batch5	bc1001	Prochlorococcus	demux_subreadset.bc1001--bc1001.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1001--bc1001.subreadset.xml
batch5_bc1002_metaflye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1002_metaflye_ccs_contig_1_Prochlorococcus_C.fasta	batch5	bc1002	Prochlorococcus	demux_subreadset.bc1002--bc1002.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1002--bc1002.subreadset.xml
batch5_bc1003_metaflye_ccs_contig_1_Prochlorococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1003_metaflye_ccs_contig_1_Prochlorococcus_C.fasta	batch5	bc1003	Prochlorococcus	demux_subreadset.bc1003--bc1003.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1003--bc1003.subreadset.xml
batch5_bc1008_metaflye_ccs_contig_1_Synechococcus_C_sp001631935	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1008_metaflye_ccs_contig_1_Synechococcus_C_sp001631935.fasta	batch5	bc1008	Synechococcus	demux_subreadset.bc1008--bc1008.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1008--bc1008.subreadset.xml
batch5_bc1009_metaflye_ccs_contig_29_Synechococcus_C	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1009_metaflye_ccs_contig_29_Synechococcus_C.fasta	batch5	bc1009	Synechococcus	demux_subreadset.bc1009--bc1009.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1009--bc1009.subreadset.xml
batch5_bc1010_metaflye_ccs_contig_1_Synechococcus_C_sp002687115	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1010_metaflye_ccs_contig_1_Synechococcus_C_sp002687115.fasta	batch5	bc1010	Synechococcus	demux_subreadset.bc1010--bc1010.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1010--bc1010.subreadset.xml
batch5_bc1011_metaflye_ccs_contig_2_Synechococcus_C_sp001040845	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1011_metaflye_ccs_contig_2_Synechococcus_C_sp001040845.fasta	batch5	bc1011	Synechococcus	demux_subreadset.bc1011--bc1011.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1011--bc1011.subreadset.xml
batch5_bc1012_metaflye_subreadset_contig_9_Synechococcus_E_sp003211515	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch5_bc1012_metaflye_subreadset_contig_9_Synechococcus_E_sp003211515.fasta	batch5	bc1012	Synechococcus	demux_subreadset.bc1012--bc1012.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch5/1/lima_demux/demux_subreadset.bc1012--bc1012.subreadset.xml
batch6_bc1010_metaflye_ccs_contig_1_Synechococcus_C_sp000063505	/nfs/chisholmlab001/nvo/projects/23_genome_closing/assembly_extraction/extract_best_assemblies/outputs/best_assemblies/batch6_bc1010_metaflye_ccs_contig_1_Synechococcus_C_sp000063505.fasta	batch6	bc1010	Synechococcus	demux_subreadset.bc1010--bc1010.subreadset	/nfs/chisholmlab001/kve/2023_HIFI_Genome_Closing_Project/demultiplexing/batch6/1/lima_demux/demux_subreadset.bc1010--bc1010.subreadset.xml
